Team,Possession,Shots on target,Shots,Touches,Passes,Tackles,Clearances,Corners,Offsides,Goal,Year,Home,Result
Norwich City,58.5,4,17,655,452,13,28,8,8,1,2012,0,2
Manchester City,53.7,4,11,775,599,21,20,3,2,1,2012,1,1
Swansea City,46.3,2,9,710,503,17,25,0,5,0,2012,0,0
Reading,34.1,8,15,480,288,11,30,6,1,3,2012,1,2
Fulham,65.9,6,19,811,612,15,43,8,0,3,2012,0,2
Stoke City,52.2,4,16,593,390,14,17,7,2,0,2012,1,2
Sunderland,47.8,0,7,560,359,22,38,3,0,0,2012,0,2
Wigan Athletic,54.4,7,16,616,424,15,42,6,3,2,2012,1,1
West Ham United,45.6,4,15,532,334,19,22,6,1,1,2012,0,0
Chelsea,48.7,8,15,618,421,21,13,8,1,2,2012,1,0
Manchester United,51.3,5,15,665,457,26,45,6,4,3,2012,0,1
Everton,56.2,4,16,625,399,20,15,9,3,2,2012,1,2
Liverpool,43.8,3,13,534,314,23,53,5,3,2,2012,0,2
Newcastle United,50.4,5,13,623,403,19,35,6,3,2,2012,1,1
West Bromwich Albion,49.6,4,11,611,404,23,35,4,7,1,2012,0,0
Southampton,52.3,2,15,659,473,19,14,2,3,1,2012,1,0
Tottenham Hotspur,47.7,4,12,661,448,15,61,3,5,2,2012,0,1
Fulham,40.9,4,9,569,343,26,38,5,0,2,2012,1,2
Everton,59.1,9,27,723,492,21,15,9,1,2,2012,0,2
Manchester United,47.7,6,14,704,532,22,26,6,5,2,2012,1,1
Arsenal,52.3,2,7,758,596,10,29,1,1,1,2012,0,0
Norwich City,43.6,4,14,558,348,21,43,9,2,1,2012,1,1
Stoke City,56.4,4,9,685,471,13,37,1,2,0,2012,0,0
Sunderland,55.6,0,12,611,409,20,26,6,5,0,2012,1,0
Aston Villa,44.4,3,9,551,336,20,60,7,2,1,2012,0,1
Swansea City,52.2,2,10,667,481,19,32,8,3,1,2012,1,2
Chelsea,47.8,5,11,611,442,22,21,6,2,1,2012,0,2
Tottenham Hotspur,51.1,5,13,627,401,16,40,9,3,0,2012,1,0
Wigan Athletic,48.9,3,7,593,406,16,29,2,3,1,2012,0,1
West Ham United,35.0,0,6,479,283,23,50,3,2,0,2012,1,2
Manchester City,65.0,5,22,770,570,9,30,7,3,0,2012,0,2
Liverpool,65.3,6,23,746,522,27,13,14,1,1,2012,1,2
Newcastle United,34.7,3,11,512,276,26,58,3,1,1,2012,0,2
Queens Park Rangers,56.1,6,23,594,356,25,41,8,3,1,2012,1,2
Reading,43.9,3,19,533,279,15,44,8,4,1,2012,0,2
West Bromwich Albion,43.5,3,17,588,381,21,31,8,3,2,2012,1,1
Southampton,56.5,3,10,701,501,23,21,6,3,0,2012,0,0
Arsenal,56.4,6,14,750,557,23,18,8,1,3,2012,1,2
Fulham,43.6,5,11,636,439,14,37,6,5,3,2012,0,2
Aston Villa,30.5,3,8,491,283,17,47,5,0,2,2012,1,0
Manchester United,69.5,5,20,875,670,14,37,6,3,3,2012,0,1
Everton,62.6,6,18,739,537,16,27,6,1,2,2012,1,1
Sunderland,37.4,3,9,528,326,18,45,2,2,1,2012,0,0
Reading,49.3,2,9,536,316,11,31,10,4,0,2012,1,2
Norwich City,50.7,1,11,551,348,20,49,3,3,0,2012,0,2
Southampton,48.4,4,16,643,449,19,17,10,2,1,2012,1,2
Swansea City,51.6,3,7,685,489,15,54,6,2,1,2012,0,2
Stoke City,45.1,2,12,516,340,19,23,5,2,1,2012,1,1
Queens Park Rangers,54.9,2,18,640,425,11,45,5,1,0,2012,0,0
Wigan Athletic,65.9,4,14,749,553,21,19,5,1,1,2012,1,0
West Bromwich Albion,34.1,4,9,478,277,21,34,8,3,2,2012,0,1
Chelsea,43.1,3,15,607,386,35,24,4,1,1,2012,1,2
Liverpool,56.9,3,9,723,507,31,15,7,7,1,2012,0,2
Manchester City,61.9,5,14,678,482,17,22,8,8,2,2012,1,1
Tottenham Hotspur,38.1,2,7,482,277,19,38,2,0,1,2012,0,0
Newcastle United,49.8,8,16,597,366,21,33,11,1,0,2012,1,0
West Ham United,50.2,3,11,626,385,24,67,3,1,1,2012,0,1
Arsenal,65.8,7,13,763,584,15,23,6,4,5,2012,1,1
Tottenham Hotspur,34.2,3,7,488,298,18,46,6,2,2,2012,0,0
Liverpool,48.9,6,22,627,418,23,13,10,1,3,2012,1,1
Wigan Athletic,51.1,2,10,639,447,20,25,5,2,0,2012,0,0
Manchester City,66.6,10,26,810,621,15,17,9,1,5,2012,1,1
Aston Villa,33.4,2,11,479,298,26,32,4,4,0,2012,0,0
Newcastle United,52.0,9,32,673,439,18,30,5,2,1,2012,1,0
